@RELATION FEATURE_VALUES_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE n_vars NUMERIC
@ATTRIBUTE n_constr NUMERIC
@ATTRIBUTE n_nzcnt NUMERIC
@ATTRIBUTE lp_avg NUMERIC
@ATTRIBUTE lp_l2_avg NUMERIC
@ATTRIBUTE lp_linf NUMERIC
@ATTRIBUTE num_i_variables NUMERIC
@ATTRIBUTE num_c_variables NUMERIC
@ATTRIBUTE ratio_i_variables NUMERIC
@ATTRIBUTE ratio_c_variables NUMERIC
@ATTRIBUTE rhs_c_0_avg NUMERIC
@ATTRIBUTE rhs_c_0_varcoef NUMERIC
@ATTRIBUTE rhs_c_1_avg NUMERIC
@ATTRIBUTE rhs_c_1_varcoef NUMERIC
@ATTRIBUTE rhs_c_2_avg NUMERIC
@ATTRIBUTE rhs_c_2_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg0_avg NUMERIC
@ATTRIBUTE vcg_constr_deg0_varcoef NUMERIC
@ATTRIBUTE vcg_constr_weight0_avg NUMERIC
@ATTRIBUTE vcg_constr_weight0_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight0_avg NUMERIC
@ATTRIBUTE vcg_var_weight0_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized0_avg NUMERIC
@ATTRIBUTE A_ij_normalized0_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs0_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs0_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg1_avg NUMERIC
@ATTRIBUTE vcg_constr_deg1_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg1_avg NUMERIC
@ATTRIBUTE vcg_var_deg1_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg1_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight1_avg NUMERIC
@ATTRIBUTE vcg_constr_weight1_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight1_avg NUMERIC
@ATTRIBUTE vcg_var_weight1_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized1_avg NUMERIC
@ATTRIBUTE A_ij_normalized1_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs1_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs1_varcoef NUMERIC
@ATTRIBUTE obj_coefs1_avg NUMERIC
@ATTRIBUTE obj_coefs1_std NUMERIC
@ATTRIBUTE obj_coef_per_constr1_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr1_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr1_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr1_std NUMERIC
@ATTRIBUTE vcg_constr_deg2_avg NUMERIC
@ATTRIBUTE vcg_constr_deg2_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg2_avg NUMERIC
@ATTRIBUTE vcg_var_deg2_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg2_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight2_avg NUMERIC
@ATTRIBUTE vcg_constr_weight2_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight2_avg NUMERIC
@ATTRIBUTE vcg_var_weight2_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized2_avg NUMERIC
@ATTRIBUTE A_ij_normalized2_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs2_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs2_varcoef NUMERIC
@ATTRIBUTE obj_coefs2_avg NUMERIC
@ATTRIBUTE obj_coefs2_std NUMERIC
@ATTRIBUTE obj_coef_per_constr2_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr2_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr2_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr2_std NUMERIC
@ATTRIBUTE mipgap NUMERIC
@ATTRIBUTE nodecnt NUMERIC
@ATTRIBUTE pre_t NUMERIC
@ATTRIBUTE new_row NUMERIC
@ATTRIBUTE new_col NUMERIC
@ATTRIBUTE new_nonzero NUMERIC
@ATTRIBUTE clique_table NUMERIC
@ATTRIBUTE cliqueCuts NUMERIC
@ATTRIBUTE impliedBoundCuts NUMERIC
@ATTRIBUTE flowCuts NUMERIC
@ATTRIBUTE mixedIntegerRoundingCuts NUMERIC
@ATTRIBUTE gomoryFractionalCuts NUMERIC

@DATA
mip2925, 1, 3027.0, 4484.0, 550081.0, 0.19851, 0.295769, 0.499937, 341.0, 2686.0, 0.112653, 0.887347, 0.473011, 1.98729, 0.100112, 2.65739, -0.000508327, -220.734, 0.152096, 2.50378, 0.0173059, 28.0087, 0.227565, 6.69848, 1.46358, 2.73518, 0.000630782, 66.9552, 122.524, 2.33042, 204.542, 1.50706, 681.0, 0.632189, 1.38265, 1.05537, 14.4015, 0.00710654, 185.308, 2.2987, 3.18371, 0.000372301, 0.0192915, 4.74873e-07, 2.46065e-05, 1.32965e-05, 0.000688982, 122.676, 2.32873, 181.725, 1.63628, 682.0, 0.649495, 1.51595, 0.962119, 14.893, 0.0082758, 159.73, 2.33324, 3.13583, 0.00033036, 0.0181728, 4.21378e-07, 2.31796e-05, 1.17986e-05, 0.000649029, 1.0, 0.0, 0.28, 2042.0, 1580.0, 545529.0, 280.0, 0.0, 179.0, 0.0, 57.0, 28.0
mip7351, 1, 2975.0, 4380.0, 508663.0, 0.132796, 0.219659, 0.498027, 315.0, 2660.0, 0.105882, 0.894118, 0.463022, 1.97948, 0.126814, 2.41418, -0.00397664, -30.8078, 0.143836, 2.59749, 0.0169792, 27.6559, 0.236091, 6.39282, 1.38922, 1.35608, 0.00064576, 66.174, 115.989, 2.405, 190.99, 1.49516, 629.0, 0.631362, 1.37435, 1.03961, 14.687, 0.00711863, 213.718, 2.17035, 3.28471, 0.00037594, 0.0193855, 4.79515e-07, 2.47264e-05, 1.34264e-05, 0.00069234, 116.133, 2.40327, 170.979, 1.61546, 630.0, 0.648341, 1.50931, 0.954533, 15.1365, 0.00825544, 184.391, 2.20533, 3.23211, 0.000336134, 0.0183309, 4.28743e-07, 2.33812e-05, 1.20048e-05, 0.000654675, 1.0, 0.0, 0.26, 2022.0, 1557.0, 504253.0, 54.0, 0.0, 0.0, 0.0, 11.0, 5.0
mip2210, 1, 2921.0, 4272.0, 465652.0, 0.141231, 0.222236, 0.499323, 288.0, 2633.0, 0.0985964, 0.901404, 0.525776, 1.90707, 0.133438, 2.28425, 0.00193357, 50.2997, 0.134831, 2.70994, 0.0143827, 34.3274, 0.213344, 7.72275, 1.14946, 0.965943, 0.000662085, 65.3529, 108.866, 2.49328, 176.633, 1.48252, 575.0, 0.636736, 1.35894, 1.03309, 14.8511, 0.00792573, 167.933, 2.02938, 3.40683, 0.000379795, 0.0194846, 4.84432e-07, 2.48528e-05, 1.35641e-05, 0.00069588, 109.001, 2.49151, 159.415, 1.59339, 575.0, 0.651119, 1.53119, 0.95227, 15.3085, 0.00883183, 150.73, 2.06119, 3.35433, 0.000342349, 0.0184995, 4.36669e-07, 2.35963e-05, 1.22267e-05, 0.000660696, 1.0, 0.0, 0.24, 1955.0, 1510.0, 461297.0, 106.0, 0.0, 0.0, 0.0, 7.0, 3.0
mip9003, 1, 2957.0, 4344.0, 494326.0, 0.121524, 0.202335, 0.49821, 306.0, 2651.0, 0.103483, 0.896517, 0.471315, 1.92325, 0.0847409, 2.98303, 0.00110606, 92.8346, 0.140884, 2.63308, 0.0150796, 30.1811, 0.214071, 6.87141, 1.06135, 0.638027, 0.000651111, 65.9014, 113.654, 2.43309, 186.237, 1.49099, 611.0, 0.628905, 1.36564, 1.03054, 14.8385, 0.0055731, 183.17, 2.12375, 3.32403, 0.000377216, 0.0194184, 4.81143e-07, 2.47684e-05, 1.3472e-05, 0.000693514, 113.795, 2.43135, 167.171, 1.60816, 612.0, 0.643985, 1.49036, 0.94605, 15.315, 0.00642249, 158.978, 2.15447, 3.27492, 0.000338181, 0.0183866, 4.31353e-07, 2.34523e-05, 1.20779e-05, 0.000656663, 1.0, 0.0, 0.25, 1893.0, 1488.0, 489721.0, 60.0, 0.0, 0.0, 0.0, 31.0, 16.0
mip8065, 1, 2941.0, 4312.0, 481582.0, 0.181068, 0.282459, 0.499979, 298.0, 2643.0, 0.101326, 0.898674, 0.469227, 1.89499, 0.170436, 2.08979, -0.00345825, -34.3192, 0.138219, 2.66625, 0.0222726, 19.833, 0.32228, 4.45141, 1.60766, 3.35501, 0.000655943, 65.6582, 111.546, 2.45915, 181.985, 1.48724, 595.0, 0.625444, 1.36444, 1.0204, 15.0087, 0.00786995, 196.692, 2.08501, 3.35546, 0.000378358, 0.0194477, 4.82599e-07, 2.48058e-05, 1.35128e-05, 0.000694562, 111.684, 2.45739, 163.748, 1.60163, 596.0, 0.647717, 1.4676, 0.949661, 15.297, 0.00914402, 170.107, 2.11922, 3.29926, 0.00034002, 0.0184365, 4.33699e-07, 2.3516e-05, 1.21436e-05, 0.000658447, 1.0, 0.0, 0.25, 2013.0, 1544.0, 477273.0, 322.0, 9.0, 290.0, 0.0, 91.0, 47.0
mip2040, 1, 2961.0, 4352.0, 497512.0, 0.143378, 0.224496, 0.499759, 308.0, 2653.0, 0.104019, 0.895981, 0.510824, 1.93727, 0.138539, 2.21684, -0.000256021, -392.094, 0.141544, 2.62502, 0.0174598, 28.8101, 0.246705, 6.73142, 1.13552, 0.927728, 0.000649914, 65.9621, 114.176, 2.42673, 187.296, 1.49192, 615.0, 0.63285, 1.40178, 1.03813, 14.725, 0.00588395, 226.658, 2.13406, 3.3153, 0.000376932, 0.0194111, 4.8078e-07, 2.4759e-05, 1.34618e-05, 0.000693253, 114.318, 2.425, 168.022, 1.60979, 616.0, 0.65031, 1.55455, 0.955808, 15.1511, 0.00680073, 196.13, 2.16862, 3.2617, 0.000337724, 0.0183742, 4.3077e-07, 2.34364e-05, 1.20616e-05, 0.00065622, 1.0, 0.0, 0.26, 2037.0, 1561.0, 493181.0, 59.0, 0.0, 0.0, 0.0, 16.0, 8.0
mip6215, 1, 2959.0, 4348.0, 495919.0, 0.114353, 0.196774, 0.499603, 307.0, 2652.0, 0.103751, 0.896249, 0.512722, 1.86192, 0.126275, 2.41798, 8.56734e-05, 1344.05, 0.141214, 2.62904, 0.019575, 24.6028, 0.277238, 5.56013, 3.40351, 11.7206, 0.000650512, 65.9318, 113.916, 2.4299, 186.767, 1.49145, 613.0, 0.625342, 1.40192, 1.02526, 14.9126, 0.00864845, 261.126, 2.12669, 3.32304, 0.000377074, 0.0194147, 4.80962e-07, 2.47637e-05, 1.34669e-05, 0.000693383, 114.057, 2.42816, 167.597, 1.60898, 614.0, 0.644917, 1.53508, 0.947651, 15.2849, 0.0113324, 222.595, 2.16005, 3.27096, 0.000337952, 0.0183804, 4.31061e-07, 2.34443e-05, 1.20697e-05, 0.000656442, 1.0, 0.0, 0.25, 1984.0, 1534.0, 491489.0, 108.0, 0.0, 113.0, 0.0, 93.0, 48.0
mip778, 1, 2973.0, 4376.0, 507070.0, 0.117334, 0.199707, 0.497349, 314.0, 2659.0, 0.105617, 0.894383, 0.455249, 1.92778, 0.0989784, 2.8443, 0.000607044, 173.47, 0.14351, 2.60136, 0.0157589, 28.2374, 0.21962, 6.50833, 1.35108, 2.35959, 0.00064635, 66.1438, 115.732, 2.40806, 190.463, 1.4947, 627.0, 0.630514, 1.37316, 1.03766, 14.7169, 0.00672172, 220.707, 2.1651, 3.28915, 0.000376081, 0.0193892, 4.79695e-07, 2.47311e-05, 1.34315e-05, 0.00069247, 115.875, 2.40633, 170.558, 1.61466, 628.0, 0.646272, 1.48952, 0.951257, 15.1923, 0.00780274, 190.468, 2.1984, 3.23753, 0.000336361, 0.0183371, 4.29031e-07, 2.33891e-05, 1.20129e-05, 0.000654895, 1.0, 0.0, 0.27, 1903.0, 1497.0, 502429.0, 64.0, 0.0, 0.0, 0.0, 73.0, 37.0
mip8092, 1, 2903.0, 4236.0, 451315.0, 0.126767, 0.211108, 0.491402, 279.0, 2624.0, 0.0961075, 0.903893, 0.517534, 1.84282, 0.202083, 1.8588, -0.000829545, -127.026, 0.131728, 2.75153, 0.0217618, 21.3449, 0.330405, 4.71239, 1.19848, 2.14519, 0.000667712, 65.0769, 106.411, 2.5256, 171.782, 1.47823, 557.0, 0.632211, 1.35674, 1.0206, 15.0565, 0.00906545, 135.816, 1.98251, 3.44892, 0.000381098, 0.019518, 4.86094e-07, 2.48954e-05, 1.36106e-05, 0.000697071, 106.543, 2.52382, 155.465, 1.58592, 557.0, 0.653973, 1.4816, 0.954264, 15.3196, 0.0100164, 123.132, 2.01538, 3.39113, 0.000344471, 0.0185567, 4.39377e-07, 2.36693e-05, 1.23025e-05, 0.000662741, 1.0, 0.0, 0.23, 2016.0, 1536.0, 447145.0, 65.0, 0.0, 0.0, 0.0, 46.0, 22.0
mip776, 1, 2871.0, 4172.0, 425827.0, 0.134218, 0.217679, 0.49944, 263.0, 2608.0, 0.0916057, 0.908394, 0.476338, 1.86652, 0.154835, 2.21807, 0.00214052, 41.2553, 0.126079, 2.83147, 0.0164345, 25.6635, 0.260703, 5.5796, 1.09506, 0.842657, 0.000677955, 64.5833, 101.942, 2.58721, 163.076, 1.4705, 525.0, 0.626405, 1.39135, 1.00206, 15.3807, 0.00908669, 124.133, 1.89457, 3.53402, 0.000383436, 0.0195778, 4.89076e-07, 2.49716e-05, 1.36941e-05, 0.000699206, 102.068, 2.5854, 148.32, 1.57248, 525.0, 0.642839, 1.49787, 0.934143, 15.7337, 0.00995322, 113.353, 1.92517, 3.47628, 0.000348311, 0.0186598, 4.44274e-07, 2.38008e-05, 1.24397e-05, 0.000666423, 1.0, 1.0, 0.22, 1660.0, 1350.0, 421057.0, 34.0, 0.0, 0.0, 0.0, 34.0, 17.0
