@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_SCIPfeatureset


@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE StaticOn {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE StaticOff {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE Dynamic {ok,timeout,memout,presolved,crash,unknown,other}



@DATA
mip1184, 1, ok, ok, ok
mip1185, 1, ok, ok, ok
mip1186, 1, ok, ok, ok
mip1187, 1, ok, ok, ok
mip1188, 1, ok, ok, ok
mip1189, 1, ok, ok, ok
mip119, 1, ok, ok, ok
mip1190, 1, ok, ok, ok
mip1191, 1, ok, ok, ok
mip1192, 1, ok, ok, ok
mip1193, 1, ok, ok, ok
mip1194, 1, ok, ok, ok
mip1195, 1, ok, ok, ok
mip1196, 1, ok, ok, ok
mip1197, 1, ok, ok, ok
mip1198, 1, ok, ok, ok
mip1199, 1, ok, ok, ok
mip12, 1, ok, ok, ok
mip120, 1, ok, ok, ok
mip1200, 1, ok, ok, ok
mip1201, 1, ok, ok, ok
mip1202, 1, ok, ok, ok
mip1203, 1, ok, ok, ok
mip1204, 1, ok, ok, ok
mip1205, 1, ok, ok, ok
mip1206, 1, ok, ok, ok
mip1207, 1, ok, ok, ok
mip1208, 1, ok, ok, ok
mip1209, 1, ok, ok, ok
mip121, 1, ok, ok, ok
mip1210, 1, ok, ok, ok
mip1211, 1, ok, ok, ok
mip1212, 1, ok, ok, ok
mip1213, 1, ok, ok, ok
mip1214, 1, ok, ok, ok
mip1215, 1, ok, ok, ok
mip1216, 1, ok, ok, ok
mip1217, 1, ok, ok, ok
mip1218, 1, ok, ok, ok
mip1219, 1, ok, ok, ok
mip122, 1, ok, ok, ok
mip1220, 1, ok, ok, ok
mip1221, 1, ok, ok, ok
mip1222, 1, ok, ok, ok
mip1223, 1, ok, ok, ok
mip1224, 1, ok, ok, ok
mip1225, 1, ok, ok, ok
mip1226, 1, ok, ok, ok
mip1227, 1, ok, ok, ok
mip1228, 1, ok, ok, ok
mip1229, 1, ok, ok, ok
mip123, 1, ok, ok, ok
mip1230, 1, ok, ok, ok
mip1231, 1, ok, ok, ok
mip1232, 1, ok, ok, ok
mip1233, 1, ok, ok, ok
mip1234, 1, ok, ok, ok
mip1235, 1, ok, ok, ok
mip1236, 1, ok, ok, ok
mip1237, 1, ok, ok, ok
mip1238, 1, ok, ok, ok
mip1239, 1, ok, ok, ok
mip124, 1, ok, ok, ok
mip1240, 1, ok, ok, ok
mip1241, 1, ok, ok, ok
mip1242, 1, ok, ok, ok
mip1243, 1, ok, ok, ok
mip1244, 1, ok, ok, ok
mip1245, 1, ok, ok, ok
mip1246, 1, ok, ok, ok
mip1247, 1, ok, ok, ok
mip1248, 1, ok, ok, ok
mip1249, 1, ok, ok, ok
mip125, 1, ok, ok, ok
mip1250, 1, ok, ok, ok
mip1251, 1, ok, ok, ok
mip1252, 1, ok, ok, ok
mip1253, 1, ok, ok, ok
mip1254, 1, ok, ok, ok
mip1255, 1, ok, ok, ok
mip1256, 1, ok, ok, ok
mip1257, 1, ok, ok, ok
mip1258, 1, ok, ok, ok
mip1259, 1, ok, ok, ok
mip126, 1, ok, ok, ok
mip1260, 1, ok, ok, ok
mip1261, 1, ok, ok, ok
mip1262, 1, ok, ok, ok
mip1263, 1, ok, ok, ok
mip1264, 1, ok, ok, ok
mip1265, 1, ok, ok, ok
mip1266, 1, ok, ok, ok
mip1267, 1, ok, ok, ok
mip1268, 1, ok, ok, ok
mip1269, 1, ok, ok, ok
mip127, 1, ok, ok, ok
mip1270, 1, ok, ok, ok
mip1271, 1, ok, ok, ok
mip1272, 1, ok, ok, ok
mip1273, 1, ok, ok, ok
mip1274, 1, ok, ok, ok
mip1275, 1, ok, ok, ok
mip1276, 1, ok, ok, ok
mip1277, 1, ok, ok, ok
mip1278, 1, ok, ok, ok
mip1279, 1, ok, ok, ok
mip128, 1, ok, ok, ok
mip1280, 1, ok, ok, ok
mip1281, 1, ok, ok, ok
mip1282, 1, ok, ok, ok
mip1283, 1, ok, ok, ok
mip1284, 1, ok, ok, ok
mip1285, 1, ok, ok, ok
mip1286, 1, ok, ok, ok
mip1287, 1, ok, ok, ok
mip1288, 1, ok, ok, ok
mip1289, 1, ok, ok, ok
mip129, 1, ok, ok, ok
mip1290, 1, ok, ok, ok
mip1291, 1, ok, ok, ok
mip1292, 1, ok, ok, ok
mip1293, 1, ok, ok, ok
mip1294, 1, ok, ok, ok
mip1295, 1, ok, ok, ok
mip1296, 1, ok, ok, ok
mip1297, 1, ok, ok, ok
mip1298, 1, ok, ok, ok
mip1299, 1, ok, ok, ok
mip13, 1, ok, ok, ok
mip130, 1, ok, ok, ok
mip1300, 1, ok, ok, ok
mip1301, 1, ok, ok, ok
mip1302, 1, ok, ok, ok
mip1303, 1, ok, ok, ok
mip1304, 1, ok, ok, ok
mip1305, 1, ok, ok, ok
mip1306, 1, ok, ok, ok
mip1307, 1, ok, ok, ok
mip1308, 1, ok, ok, ok
mip1309, 1, ok, ok, ok
mip131, 1, ok, ok, ok
mip1310, 1, ok, ok, ok
mip1311, 1, ok, ok, ok
mip1312, 1, ok, ok, ok
mip1313, 1, ok, ok, ok
mip1314, 1, ok, ok, ok
mip1315, 1, ok, ok, ok
mip1316, 1, ok, ok, ok
mip1317, 1, ok, ok, ok
mip1318, 1, ok, ok, ok
mip1319, 1, ok, ok, ok
mip132, 1, ok, ok, ok
mip1320, 1, ok, ok, ok
mip1321, 1, ok, ok, ok
mip1322, 1, ok, ok, ok
mip1323, 1, ok, ok, ok
mip1324, 1, ok, ok, ok
mip1325, 1, ok, ok, ok
mip1326, 1, ok, ok, ok
mip1327, 1, ok, ok, ok
mip1328, 1, ok, ok, ok
mip1329, 1, ok, ok, ok
mip133, 1, ok, ok, ok
mip1330, 1, ok, ok, ok
mip1331, 1, ok, ok, ok
mip1332, 1, ok, ok, ok
mip1333, 1, ok, ok, ok
mip1334, 1, ok, ok, ok
mip1335, 1, ok, ok, ok
mip1336, 1, ok, ok, ok
mip1337, 1, ok, ok, ok
mip1338, 1, ok, ok, ok
mip1339, 1, ok, ok, ok
mip134, 1, ok, ok, ok
mip1340, 1, ok, ok, ok
mip1341, 1, ok, ok, ok
mip1342, 1, ok, ok, ok
mip1343, 1, ok, ok, ok
mip1344, 1, ok, ok, ok
mip1345, 1, ok, ok, ok
mip1346, 1, ok, ok, ok
mip1347, 1, ok, ok, ok
mip1348, 1, ok, ok, ok
mip1349, 1, ok, ok, ok
mip135, 1, ok, ok, ok
mip1350, 1, ok, ok, ok
mip1351, 1, ok, ok, ok
mip1352, 1, ok, ok, ok
mip1353, 1, ok, ok, ok
mip1354, 1, ok, ok, ok
mip1355, 1, ok, ok, ok
mip1356, 1, ok, ok, ok
mip1357, 1, ok, ok, ok
mip1358, 1, ok, ok, ok
mip1359, 1, ok, ok, ok
mip136, 1, ok, ok, ok
mip1360, 1, ok, ok, ok
mip1361, 1, ok, ok, ok
mip1362, 1, ok, ok, ok
mip1363, 1, ok, ok, ok
mip1364, 1, ok, ok, ok
mip1365, 1, ok, ok, ok
mip1366, 1, ok, ok, ok
mip1367, 1, ok, ok, ok
mip1368, 1, ok, ok, ok
mip1369, 1, ok, ok, ok
mip137, 1, ok, ok, ok
mip1370, 1, ok, ok, ok
mip1371, 1, ok, ok, ok
mip1372, 1, ok, ok, ok
mip1373, 1, ok, ok, ok
mip1374, 1, ok, ok, ok
mip1375, 1, ok, ok, ok
mip1376, 1, ok, ok, ok
mip1377, 1, ok, ok, ok
mip1378, 1, ok, ok, ok
mip1379, 1, ok, ok, ok
mip138, 1, ok, ok, ok
mip1380, 1, ok, ok, ok
mip1381, 1, ok, ok, ok
mip1382, 1, ok, ok, ok
mip1383, 1, ok, ok, ok
mip1384, 1, ok, ok, ok
mip1385, 1, ok, ok, ok
mip1386, 1, ok, ok, ok
mip1387, 1, ok, ok, ok
mip1388, 1, ok, ok, ok
mip1389, 1, ok, ok, ok
mip139, 1, ok, ok, ok
mip1390, 1, ok, ok, ok
mip1391, 1, ok, ok, ok
mip1392, 1, ok, ok, ok
mip1393, 1, ok, ok, ok
mip1394, 1, ok, ok, ok
mip1395, 1, ok, ok, ok
mip1396, 1, ok, ok, ok
mip1397, 1, ok, ok, ok
mip1398, 1, ok, ok, ok
mip1399, 1, ok, ok, ok
mip14, 1, ok, ok, ok
mip140, 1, ok, ok, ok
mip1400, 1, ok, ok, ok
mip1401, 1, ok, ok, ok
mip1402, 1, ok, ok, ok
mip1403, 1, ok, ok, ok
mip1404, 1, ok, ok, ok
mip1405, 1, ok, ok, ok
mip1406, 1, ok, ok, ok
mip1407, 1, ok, ok, ok
mip1408, 1, ok, ok, ok
mip1409, 1, ok, ok, ok
mip141, 1, ok, ok, ok
mip1410, 1, ok, ok, ok
mip1411, 1, ok, ok, ok
mip1412, 1, ok, ok, ok
mip1413, 1, ok, ok, ok
mip1414, 1, ok, ok, ok
mip1415, 1, ok, ok, ok
mip1416, 1, ok, ok, ok
mip1417, 1, ok, ok, ok
mip1418, 1, ok, ok, ok
mip1419, 1, ok, ok, ok
mip142, 1, ok, ok, ok
mip1420, 1, ok, ok, ok
mip1421, 1, ok, ok, ok
mip1422, 1, ok, ok, ok
mip1423, 1, ok, ok, ok
mip1424, 1, ok, ok, ok
mip1425, 1, ok, ok, ok
mip1426, 1, ok, ok, ok
mip1427, 1, ok, ok, ok
mip1428, 1, ok, ok, ok
mip1429, 1, ok, ok, ok
mip143, 1, ok, ok, ok
mip1430, 1, ok, ok, ok
mip1431, 1, ok, ok, ok
mip1432, 1, ok, ok, ok
mip1433, 1, ok, ok, ok
mip1434, 1, ok, ok, ok
mip1435, 1, ok, ok, ok
mip1436, 1, ok, ok, ok
mip1437, 1, ok, ok, ok
mip1438, 1, ok, ok, ok
mip1439, 1, ok, ok, ok
mip144, 1, ok, ok, ok
mip1440, 1, ok, ok, ok
mip1441, 1, ok, ok, ok
mip1442, 1, ok, ok, ok
mip1443, 1, ok, ok, ok
mip1444, 1, ok, ok, ok
mip1445, 1, ok, ok, ok
mip1446, 1, ok, ok, ok
mip1447, 1, ok, ok, ok
mip1448, 1, ok, ok, ok
mip1449, 1, ok, ok, ok
mip145, 1, ok, ok, ok
mip1450, 1, ok, ok, ok
mip1451, 1, ok, ok, ok
mip1452, 1, ok, ok, ok
mip1453, 1, ok, ok, ok
mip1454, 1, ok, ok, ok
mip1455, 1, ok, ok, ok
mip1456, 1, ok, ok, ok
mip1457, 1, ok, ok, ok
mip1458, 1, ok, ok, ok
mip1459, 1, ok, ok, ok
mip146, 1, ok, ok, ok
mip1460, 1, ok, ok, ok
mip1461, 1, ok, ok, ok
mip1462, 1, ok, ok, ok
mip1463, 1, ok, ok, ok
mip1464, 1, ok, ok, ok
mip1465, 1, ok, ok, ok
mip1466, 1, ok, ok, ok
mip1467, 1, ok, ok, ok
mip1468, 1, ok, ok, ok
mip1469, 1, ok, ok, ok
mip147, 1, ok, ok, ok
mip1470, 1, ok, ok, ok
mip1471, 1, ok, ok, ok
mip1472, 1, ok, ok, ok
mip1473, 1, ok, ok, ok
mip1474, 1, ok, ok, ok
mip1475, 1, ok, ok, ok
mip1476, 1, ok, ok, ok
mip1477, 1, ok, ok, ok
mip1478, 1, ok, ok, ok
mip1479, 1, ok, ok, ok
mip148, 1, ok, ok, ok
mip1480, 1, ok, ok, ok
mip1481, 1, ok, ok, ok
mip1482, 1, ok, ok, ok
mip1483, 1, ok, ok, ok
mip1484, 1, ok, ok, ok
mip1485, 1, ok, ok, ok
mip1486, 1, ok, ok, ok
mip1487, 1, ok, ok, ok
mip1488, 1, ok, ok, ok
mip1489, 1, ok, ok, ok
mip149, 1, ok, ok, ok
mip1490, 1, ok, ok, ok
mip1491, 1, ok, ok, ok
mip1492, 1, ok, ok, ok
mip1493, 1, ok, ok, ok
mip1494, 1, ok, ok, ok
mip1495, 1, ok, ok, ok
mip1496, 1, ok, ok, ok
mip1497, 1, ok, ok, ok
mip1498, 1, ok, ok, ok
mip1499, 1, ok, ok, ok
mip15, 1, ok, ok, ok
mip150, 1, ok, ok, ok
mip1500, 1, ok, ok, ok
mip1501, 1, ok, ok, ok
mip1502, 1, ok, ok, ok
mip1503, 1, ok, ok, ok
mip1504, 1, ok, ok, ok
mip1505, 1, ok, ok, ok
mip1506, 1, ok, ok, ok
mip1507, 1, ok, ok, ok
mip1508, 1, ok, ok, ok
mip1509, 1, ok, ok, ok
mip151, 1, ok, ok, ok
mip1510, 1, ok, ok, ok
mip1511, 1, ok, ok, ok
mip1512, 1, ok, ok, ok
mip1513, 1, ok, ok, ok
mip1514, 1, ok, ok, ok
mip1515, 1, ok, ok, ok
mip1516, 1, ok, ok, ok
mip1517, 1, ok, ok, ok
mip1518, 1, ok, ok, ok
mip1519, 1, ok, ok, ok
mip152, 1, ok, ok, ok
mip1520, 1, ok, ok, ok
mip1521, 1, ok, ok, ok
mip1522, 1, ok, ok, ok
mip1523, 1, ok, ok, ok
mip1524, 1, ok, ok, ok
mip1525, 1, ok, ok, ok
mip1526, 1, ok, ok, ok
mip1527, 1, ok, ok, ok
mip1528, 1, ok, ok, ok
mip1529, 1, ok, ok, ok
mip153, 1, ok, ok, ok
mip1530, 1, ok, ok, ok
mip1531, 1, ok, ok, ok
mip1532, 1, ok, ok, ok
mip1533, 1, ok, ok, ok
mip1534, 1, ok, ok, ok
mip1535, 1, ok, ok, ok
mip1536, 1, ok, ok, ok
mip1537, 1, ok, ok, ok
mip1538, 1, ok, ok, ok
mip1539, 1, ok, ok, ok
mip154, 1, ok, ok, ok
mip1540, 1, ok, ok, ok
mip1541, 1, ok, ok, ok
mip1542, 1, ok, ok, ok
mip1543, 1, ok, ok, ok
mip1544, 1, ok, ok, ok
mip1545, 1, ok, ok, ok
mip1546, 1, ok, ok, ok
mip1547, 1, ok, ok, ok
mip1548, 1, ok, ok, ok
mip1549, 1, ok, ok, ok
mip155, 1, ok, ok, ok
mip1550, 1, ok, ok, ok
mip1551, 1, ok, ok, ok
mip1552, 1, ok, ok, ok
mip1553, 1, ok, ok, ok
mip1554, 1, ok, ok, ok
mip1555, 1, ok, ok, ok
mip1556, 1, ok, ok, ok
mip1557, 1, ok, ok, ok
mip1558, 1, ok, ok, ok
mip1559, 1, ok, ok, ok
mip156, 1, ok, ok, ok
mip1560, 1, ok, ok, ok
mip1561, 1, ok, ok, ok
mip1562, 1, ok, ok, ok
mip1563, 1, ok, ok, ok
mip1564, 1, ok, ok, ok
mip1565, 1, ok, ok, ok
mip1566, 1, ok, ok, ok
mip1567, 1, ok, ok, ok
mip1568, 1, ok, ok, ok
mip1569, 1, ok, ok, ok
mip157, 1, ok, ok, ok
mip1570, 1, ok, ok, ok
mip1571, 1, ok, ok, ok
mip1572, 1, ok, ok, ok
mip1573, 1, ok, ok, ok
mip1574, 1, ok, ok, ok
mip1575, 1, ok, ok, ok
mip1576, 1, ok, ok, ok
mip1577, 1, ok, ok, ok
mip1578, 1, ok, ok, ok
mip1579, 1, ok, ok, ok
mip158, 1, ok, ok, ok
mip1580, 1, ok, ok, ok
mip1581, 1, ok, ok, ok
mip1582, 1, ok, ok, ok
mip1583, 1, ok, ok, ok
mip1584, 1, ok, ok, ok
mip1585, 1, ok, ok, ok
mip1586, 1, ok, ok, ok
mip1587, 1, ok, ok, ok
mip1588, 1, ok, ok, ok
mip1589, 1, ok, ok, ok
mip159, 1, ok, ok, ok
mip1590, 1, ok, ok, ok
mip1591, 1, ok, ok, ok
mip1592, 1, ok, ok, ok
mip1593, 1, ok, ok, ok
mip1594, 1, ok, ok, ok
mip1595, 1, ok, ok, ok
mip1596, 1, ok, ok, ok
mip1597, 1, ok, ok, ok
mip1598, 1, ok, ok, ok
mip1599, 1, ok, ok, ok
mip16, 1, ok, ok, ok
mip160, 1, ok, ok, ok
mip1600, 1, ok, ok, ok
mip1601, 1, ok, ok, ok
mip1602, 1, ok, ok, ok
mip1603, 1, ok, ok, ok
mip1604, 1, ok, ok, ok
mip1605, 1, ok, ok, ok
mip1606, 1, ok, ok, ok
mip1607, 1, ok, ok, ok
mip1608, 1, ok, ok, ok
mip1609, 1, ok, ok, ok
mip161, 1, ok, ok, ok
mip1610, 1, ok, ok, ok
mip1611, 1, ok, ok, ok
mip1612, 1, ok, ok, ok
mip1613, 1, ok, ok, ok
mip1614, 1, ok, ok, ok
mip1615, 1, ok, ok, ok
mip1616, 1, ok, ok, ok
mip1617, 1, ok, ok, ok
mip1618, 1, ok, ok, ok
mip1619, 1, ok, ok, ok
mip162, 1, ok, ok, ok
mip1620, 1, ok, ok, ok
mip1621, 1, ok, ok, ok
mip1622, 1, ok, ok, ok
mip1623, 1, ok, ok, ok
mip1624, 1, ok, ok, ok
mip1625, 1, ok, ok, ok
mip1626, 1, ok, ok, ok
mip1627, 1, ok, ok, ok
mip1628, 1, ok, ok, ok
mip1629, 1, ok, ok, ok
mip163, 1, ok, ok, ok
mip1630, 1, ok, ok, ok
mip1631, 1, ok, ok, ok
mip1632, 1, ok, ok, ok
mip1633, 1, ok, ok, ok
mip1634, 1, ok, ok, ok
mip1635, 1, ok, ok, ok
mip1636, 1, ok, ok, ok
mip1637, 1, ok, ok, ok
mip1638, 1, ok, ok, ok
mip1639, 1, ok, ok, ok
mip164, 1, ok, ok, ok
mip1640, 1, ok, ok, ok
mip1641, 1, ok, ok, ok
mip1642, 1, ok, ok, ok
mip1643, 1, ok, ok, ok
mip1644, 1, ok, ok, ok
mip1645, 1, ok, ok, ok
mip1646, 1, ok, ok, ok
mip1647, 1, ok, ok, ok
mip1648, 1, ok, ok, ok
mip1649, 1, ok, ok, ok
mip165, 1, ok, ok, ok
mip1650, 1, ok, ok, ok
mip1651, 1, ok, ok, ok
mip1652, 1, ok, ok, ok
mip1653, 1, ok, ok, ok
mip1654, 1, ok, ok, ok
mip1655, 1, ok, ok, ok
mip1656, 1, ok, ok, ok
mip1657, 1, ok, ok, ok
mip1658, 1, ok, ok, ok
mip1659, 1, ok, ok, ok
mip166, 1, ok, ok, ok
mip1660, 1, ok, ok, ok
mip1661, 1, ok, ok, ok
mip1662, 1, ok, ok, ok
mip1663, 1, ok, ok, ok
mip1664, 1, ok, ok, ok
mip1665, 1, ok, ok, ok
mip1666, 1, ok, ok, ok
mip1667, 1, ok, ok, ok
mip1668, 1, ok, ok, ok
mip1669, 1, ok, ok, ok
mip167, 1, ok, ok, ok
mip1670, 1, ok, ok, ok
mip1671, 1, ok, ok, ok
mip1672, 1, ok, ok, ok
mip1673, 1, ok, ok, ok
mip1674, 1, ok, ok, ok
mip1675, 1, ok, ok, ok
mip1676, 1, ok, ok, ok
mip1677, 1, ok, ok, ok
mip1678, 1, ok, ok, ok
mip1679, 1, ok, ok, ok
mip168, 1, ok, ok, ok
mip1680, 1, ok, ok, ok
mip1681, 1, ok, ok, ok
mip1682, 1, ok, ok, ok
mip1683, 1, ok, ok, ok
mip1684, 1, ok, ok, ok
mip1685, 1, ok, ok, ok
mip1686, 1, ok, ok, ok
mip1687, 1, ok, ok, ok
mip1688, 1, ok, ok, ok
mip1689, 1, ok, ok, ok
mip169, 1, ok, ok, ok
mip1690, 1, ok, ok, ok
mip1691, 1, ok, ok, ok
mip1692, 1, ok, ok, ok
mip1693, 1, ok, ok, ok
mip1694, 1, ok, ok, ok
mip1695, 1, ok, ok, ok
mip1696, 1, ok, ok, ok
mip1697, 1, ok, ok, ok
mip1698, 1, ok, ok, ok
mip1699, 1, ok, ok, ok
mip17, 1, ok, ok, ok
mip170, 1, ok, ok, ok
mip1700, 1, ok, ok, ok
mip1701, 1, ok, ok, ok
mip1702, 1, ok, ok, ok
mip1703, 1, ok, ok, ok
mip1704, 1, ok, ok, ok
mip1705, 1, ok, ok, ok
mip1706, 1, ok, ok, ok
mip1707, 1, ok, ok, ok
mip1708, 1, ok, ok, ok
mip1709, 1, ok, ok, ok
mip171, 1, ok, ok, ok
mip1710, 1, ok, ok, ok
mip1711, 1, ok, ok, ok
mip1712, 1, ok, ok, ok
mip1713, 1, ok, ok, ok
mip1714, 1, ok, ok, ok
mip1715, 1, ok, ok, ok
mip1716, 1, ok, ok, ok
mip1717, 1, ok, ok, ok
mip1718, 1, ok, ok, ok
mip1719, 1, ok, ok, ok
mip172, 1, ok, ok, ok
mip1720, 1, ok, ok, ok
