@RELATION CV_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC


@DATA
mip1086, 1, 6
mip1087, 1, 2
mip1088, 1, 2
mip1089, 1, 7
mip109, 1, 2
mip1090, 1, 6
mip1091, 1, 6
mip1092, 1, 10
mip1093, 1, 3
mip1094, 1, 5
mip1095, 1, 5
mip1096, 1, 6
mip1097, 1, 10
mip1098, 1, 3
mip1099, 1, 8
mip11, 1, 5
mip110, 1, 3
mip1100, 1, 2
mip1101, 1, 10
mip1102, 1, 4
mip1103, 1, 8
mip1104, 1, 2
mip1105, 1, 8
mip1106, 1, 5
mip1107, 1, 2
mip1108, 1, 3
mip1109, 1, 2
mip111, 1, 5
mip1110, 1, 10
mip1111, 1, 10
mip1112, 1, 6
mip1113, 1, 5
mip1114, 1, 4
mip1115, 1, 4
mip1116, 1, 4
mip1117, 1, 3
mip1118, 1, 7
mip1119, 1, 10
mip112, 1, 3
mip1120, 1, 5
mip1121, 1, 8
mip1122, 1, 8
mip1123, 1, 7
mip1124, 1, 7
mip1125, 1, 5
mip1126, 1, 3
mip1127, 1, 6
mip1128, 1, 4
mip1129, 1, 3
mip113, 1, 1
mip1130, 1, 2
mip1131, 1, 7
mip1132, 1, 2
mip1133, 1, 8
mip1134, 1, 8
mip1135, 1, 6
mip1136, 1, 2
mip1137, 1, 8
mip1138, 1, 9
mip1139, 1, 4
mip114, 1, 9
mip1140, 1, 6
mip1141, 1, 9
mip1142, 1, 6
mip1143, 1, 2
mip1144, 1, 10
mip1145, 1, 6
mip1146, 1, 2
mip1147, 1, 9
mip1148, 1, 3
mip1149, 1, 6
mip115, 1, 2
mip1150, 1, 1
mip1151, 1, 8
mip1152, 1, 9
mip1153, 1, 4
mip1154, 1, 9
mip1155, 1, 3
mip1156, 1, 4
mip1157, 1, 2
mip1158, 1, 6
mip1159, 1, 10
mip116, 1, 10
mip1160, 1, 3
mip1161, 1, 3
mip1162, 1, 8
mip1163, 1, 9
mip1164, 1, 8
mip1165, 1, 5
mip1166, 1, 10
mip1167, 1, 9
mip1168, 1, 7
mip1169, 1, 4
mip117, 1, 8
mip1170, 1, 10
mip1171, 1, 10
mip1172, 1, 10
mip1173, 1, 6
mip1174, 1, 10
mip1175, 1, 8
mip1176, 1, 6
mip1177, 1, 10
mip1178, 1, 8
mip1179, 1, 7
mip118, 1, 4
mip1180, 1, 3
mip1181, 1, 7
mip1182, 1, 10
mip1183, 1, 1
mip1184, 1, 2
mip1185, 1, 3
mip1186, 1, 8
mip1187, 1, 8
mip1188, 1, 2
mip1189, 1, 10
mip119, 1, 4
mip1190, 1, 8
mip1191, 1, 3
mip1192, 1, 10
mip1193, 1, 2
mip1194, 1, 3
mip1195, 1, 2
mip1196, 1, 2
mip1197, 1, 8
mip1198, 1, 10
mip1199, 1, 9
mip12, 1, 4
mip120, 1, 7
mip1200, 1, 8
mip1201, 1, 4
mip1202, 1, 3
mip1203, 1, 10
mip1204, 1, 4
mip1205, 1, 1
mip1206, 1, 4
mip1207, 1, 7
mip1208, 1, 9
mip1209, 1, 8
mip121, 1, 10
mip1210, 1, 7
mip1211, 1, 8
mip1212, 1, 8
mip1213, 1, 9
mip1214, 1, 10
mip1215, 1, 9
mip1216, 1, 4
mip1217, 1, 4
mip1218, 1, 7
mip1219, 1, 1
mip122, 1, 1
mip1220, 1, 3
mip1221, 1, 7
mip1222, 1, 9
mip1223, 1, 2
mip1224, 1, 9
mip1225, 1, 6
mip1226, 1, 6
mip1227, 1, 1
mip1228, 1, 3
mip1229, 1, 2
mip123, 1, 2
mip1230, 1, 4
mip1231, 1, 4
mip1232, 1, 7
mip1233, 1, 1
mip1234, 1, 1
mip1235, 1, 6
mip1236, 1, 6
mip1237, 1, 2
mip1238, 1, 3
mip1239, 1, 9
mip124, 1, 4
mip1240, 1, 1
mip1241, 1, 1
mip1242, 1, 7
mip1243, 1, 4
mip1244, 1, 6
mip1245, 1, 9
mip1246, 1, 8
mip1247, 1, 6
mip1248, 1, 7
mip1249, 1, 2
mip125, 1, 9
mip1250, 1, 4
mip1251, 1, 6
mip1252, 1, 4
mip1253, 1, 3
mip1254, 1, 1
mip1255, 1, 2
mip1256, 1, 8
mip1257, 1, 5
mip1258, 1, 3
mip1259, 1, 6
mip126, 1, 8
mip1260, 1, 8
mip1261, 1, 5
mip1262, 1, 7
mip1263, 1, 1
mip1264, 1, 4
mip1265, 1, 9
mip1266, 1, 1
mip1267, 1, 7
mip1268, 1, 7
mip1269, 1, 5
mip127, 1, 1
mip1270, 1, 8
mip1271, 1, 5
mip1272, 1, 5
mip1273, 1, 7
mip1274, 1, 8
mip1275, 1, 9
mip1276, 1, 5
mip1277, 1, 3
mip1278, 1, 8
mip1279, 1, 8
mip128, 1, 5
mip1280, 1, 7
mip1281, 1, 4
mip1282, 1, 6
mip1283, 1, 1
mip1284, 1, 8
mip1285, 1, 1
mip1286, 1, 3
mip1287, 1, 9
mip1288, 1, 2
mip1289, 1, 2
mip129, 1, 4
mip1290, 1, 7
mip1291, 1, 9
mip1292, 1, 7
mip1293, 1, 9
mip1294, 1, 9
mip1295, 1, 6
mip1296, 1, 8
mip1297, 1, 8
mip1298, 1, 4
mip1299, 1, 7
mip13, 1, 5
mip130, 1, 7
mip1300, 1, 1
mip1301, 1, 1
mip1302, 1, 9
mip1303, 1, 10
mip1304, 1, 3
mip1305, 1, 9
mip1306, 1, 2
mip1307, 1, 9
mip1308, 1, 10
mip1309, 1, 3
mip131, 1, 10
mip1310, 1, 7
mip1311, 1, 6
mip1312, 1, 6
mip1313, 1, 1
mip1314, 1, 7
mip1315, 1, 6
mip1316, 1, 1
mip1317, 1, 7
mip1318, 1, 5
mip1319, 1, 7
mip132, 1, 8
mip1320, 1, 3
mip1321, 1, 8
mip1322, 1, 9
mip1323, 1, 2
mip1324, 1, 2
mip1325, 1, 3
mip1326, 1, 10
mip1327, 1, 2
mip1328, 1, 1
mip1329, 1, 5
mip133, 1, 1
mip1330, 1, 9
mip1331, 1, 1
mip1332, 1, 10
mip1333, 1, 8
mip1334, 1, 4
mip1335, 1, 7
mip1336, 1, 10
mip1337, 1, 7
mip1338, 1, 7
mip1339, 1, 6
mip134, 1, 4
mip1340, 1, 4
mip1341, 1, 10
mip1342, 1, 4
mip1343, 1, 4
mip1344, 1, 6
mip1345, 1, 3
mip1346, 1, 3
mip1347, 1, 6
mip1348, 1, 1
mip1349, 1, 3
mip135, 1, 1
mip1350, 1, 5
mip1351, 1, 4
mip1352, 1, 2
mip1353, 1, 6
mip1354, 1, 7
mip1355, 1, 9
mip1356, 1, 10
mip1357, 1, 3
mip1358, 1, 5
mip1359, 1, 7
mip136, 1, 6
mip1360, 1, 8
mip1361, 1, 1
mip1362, 1, 4
mip1363, 1, 1
mip1364, 1, 7
mip1365, 1, 4
mip1366, 1, 4
mip1367, 1, 1
mip1368, 1, 5
mip1369, 1, 10
mip137, 1, 5
mip1370, 1, 6
mip1371, 1, 6
mip1372, 1, 9
mip1373, 1, 5
mip1374, 1, 4
mip1375, 1, 2
mip1376, 1, 5
mip1377, 1, 1
mip1378, 1, 4
mip1379, 1, 5
mip138, 1, 8
mip1380, 1, 7
mip1381, 1, 9
mip1382, 1, 5
mip1383, 1, 10
mip1384, 1, 6
mip1385, 1, 2
mip1386, 1, 6
mip1387, 1, 1
mip1388, 1, 9
mip1389, 1, 5
mip139, 1, 2
mip1390, 1, 7
mip1391, 1, 8
mip1392, 1, 1
mip1393, 1, 8
mip1394, 1, 10
mip1395, 1, 8
mip1396, 1, 4
mip1397, 1, 7
mip1398, 1, 8
mip1399, 1, 5
mip14, 1, 3
mip140, 1, 2
mip1400, 1, 6
mip1401, 1, 4
mip1402, 1, 4
mip1403, 1, 10
mip1404, 1, 10
mip1405, 1, 6
mip1406, 1, 8
mip1407, 1, 9
mip1408, 1, 9
mip1409, 1, 7
mip141, 1, 10
mip1410, 1, 4
mip1411, 1, 3
mip1412, 1, 9
mip1413, 1, 9
mip1414, 1, 8
mip1415, 1, 2
mip1416, 1, 2
mip1417, 1, 2
mip1418, 1, 9
mip1419, 1, 1
mip142, 1, 10
mip1420, 1, 2
mip1421, 1, 8
mip1422, 1, 1
mip1423, 1, 9
mip1424, 1, 8
mip1425, 1, 6
mip1426, 1, 1
mip1427, 1, 2
mip1428, 1, 9
mip1429, 1, 1
mip143, 1, 2
mip1430, 1, 10
mip1431, 1, 7
mip1432, 1, 7
mip1433, 1, 7
mip1434, 1, 10
mip1435, 1, 4
mip1436, 1, 5
mip1437, 1, 6
mip1438, 1, 2
mip1439, 1, 6
mip144, 1, 8
mip1440, 1, 6
mip1441, 1, 4
mip1442, 1, 2
mip1443, 1, 5
mip1444, 1, 4
mip1445, 1, 4
mip1446, 1, 2
mip1447, 1, 1
mip1448, 1, 8
mip1449, 1, 10
mip145, 1, 6
mip1450, 1, 4
mip1451, 1, 6
mip1452, 1, 9
mip1453, 1, 3
mip1454, 1, 8
mip1455, 1, 1
mip1456, 1, 9
mip1457, 1, 3
mip1458, 1, 2
mip1459, 1, 9
mip146, 1, 3
mip1460, 1, 5
mip1461, 1, 10
mip1462, 1, 9
mip1463, 1, 5
mip1464, 1, 6
mip1465, 1, 1
mip1466, 1, 6
mip1467, 1, 1
mip1468, 1, 8
mip1469, 1, 8
mip147, 1, 2
mip1470, 1, 10
mip1471, 1, 5
mip1472, 1, 9
mip1473, 1, 10
mip1474, 1, 8
mip1475, 1, 3
mip1476, 1, 7
mip1477, 1, 4
mip1478, 1, 9
mip1479, 1, 6
mip148, 1, 5
mip1480, 1, 7
mip1481, 1, 4
mip1482, 1, 3
mip1483, 1, 9
mip1484, 1, 1
mip1485, 1, 3
mip1486, 1, 9
mip1487, 1, 6
mip1488, 1, 6
mip1489, 1, 8
mip149, 1, 3
mip1490, 1, 3
mip1491, 1, 8
mip1492, 1, 7
mip1493, 1, 3
mip1494, 1, 4
mip1495, 1, 2
mip1496, 1, 5
mip1497, 1, 6
mip1498, 1, 10
mip1499, 1, 7
mip15, 1, 2
mip150, 1, 6
mip1500, 1, 4
mip1501, 1, 9
mip1502, 1, 2
mip1503, 1, 10
mip1504, 1, 10
mip1505, 1, 2
mip1506, 1, 4
mip1507, 1, 6
mip1508, 1, 10
mip1509, 1, 3
mip151, 1, 10
mip1510, 1, 4
mip1511, 1, 9
mip1512, 1, 8
mip1513, 1, 1
mip1514, 1, 1
mip1515, 1, 4
mip1516, 1, 9
mip1517, 1, 10
mip1518, 1, 3
mip1519, 1, 4
mip152, 1, 2
mip1520, 1, 8
mip1521, 1, 3
mip1522, 1, 8
mip1523, 1, 8
mip1524, 1, 4
mip1525, 1, 1
mip1526, 1, 5
mip1527, 1, 2
mip1528, 1, 3
mip1529, 1, 1
mip153, 1, 5
mip1530, 1, 1
mip1531, 1, 3
mip1532, 1, 2
mip1533, 1, 3
mip1534, 1, 4
mip1535, 1, 8
mip1536, 1, 2
mip1537, 1, 3
mip1538, 1, 3
mip1539, 1, 10
mip154, 1, 1
mip1540, 1, 7
mip1541, 1, 6
mip1542, 1, 8
mip1543, 1, 3
mip1544, 1, 5
mip1545, 1, 4
mip1546, 1, 2
mip1547, 1, 4
mip1548, 1, 5
mip1549, 1, 3
mip155, 1, 1
mip1550, 1, 6
mip1551, 1, 8
mip1552, 1, 8
mip1553, 1, 5
mip1554, 1, 7
mip1555, 1, 9
mip1556, 1, 3
mip1557, 1, 3
mip1558, 1, 8
mip1559, 1, 5
mip156, 1, 1
mip1560, 1, 6
mip1561, 1, 4
mip1562, 1, 3
mip1563, 1, 1
mip1564, 1, 1
mip1565, 1, 10
mip1566, 1, 9
mip1567, 1, 4
mip1568, 1, 6
mip1569, 1, 9
mip157, 1, 10
mip1570, 1, 10
mip1571, 1, 5
mip1572, 1, 8
mip1573, 1, 2
mip1574, 1, 3
mip1575, 1, 5
mip1576, 1, 4
mip1577, 1, 8
mip1578, 1, 9
mip1579, 1, 10
mip158, 1, 6
mip1580, 1, 1
mip1581, 1, 1
mip1582, 1, 8
mip1583, 1, 9
mip1584, 1, 9
mip1585, 1, 1
mip1586, 1, 8
mip1587, 1, 2
mip1588, 1, 2
mip1589, 1, 2
mip159, 1, 3
mip1590, 1, 1
mip1591, 1, 8
mip1592, 1, 5
mip1593, 1, 5
mip1594, 1, 7
mip1595, 1, 8
mip1596, 1, 8
mip1597, 1, 6
mip1598, 1, 6
mip1599, 1, 4
mip16, 1, 3
mip160, 1, 8
mip1600, 1, 6
mip1601, 1, 8
mip1602, 1, 6
mip1603, 1, 10
mip1604, 1, 10
mip1605, 1, 8
mip1606, 1, 2
mip1607, 1, 9
mip1608, 1, 7
mip1609, 1, 6
mip161, 1, 1
mip1610, 1, 1
mip1611, 1, 8
mip1612, 1, 9
mip1613, 1, 7
mip1614, 1, 7
mip1615, 1, 3
mip1616, 1, 4
mip1617, 1, 6
mip1618, 1, 2
mip1619, 1, 10
mip162, 1, 4
mip1620, 1, 4
mip1621, 1, 1
mip1622, 1, 6
mip1623, 1, 7
mip1624, 1, 1
mip1625, 1, 6
mip1626, 1, 3
mip1627, 1, 7
mip1628, 1, 4
mip1629, 1, 8
mip163, 1, 6
mip1630, 1, 10
mip1631, 1, 9
mip1632, 1, 5
mip1633, 1, 7
mip1634, 1, 3
mip1635, 1, 4
mip1636, 1, 4
mip1637, 1, 6
mip1638, 1, 4
mip1639, 1, 2
mip164, 1, 6
mip1640, 1, 1
mip1641, 1, 8
mip1642, 1, 6
mip1643, 1, 5
mip1644, 1, 3
mip1645, 1, 10
mip1646, 1, 9
mip1647, 1, 10
mip1648, 1, 8
mip1649, 1, 2
mip165, 1, 1
mip1650, 1, 8
mip1651, 1, 7
mip1652, 1, 8
mip1653, 1, 1
mip1654, 1, 1
mip1655, 1, 8
mip1656, 1, 8
mip1657, 1, 9
mip1658, 1, 4
mip1659, 1, 1
mip166, 1, 8
mip1660, 1, 3
mip1661, 1, 7
mip1662, 1, 6
mip1663, 1, 4
mip1664, 1, 2
mip1665, 1, 3
mip1666, 1, 10
mip1667, 1, 5
mip1668, 1, 9
mip1669, 1, 8
mip167, 1, 6
mip1670, 1, 3
mip1671, 1, 5
mip1672, 1, 10
mip1673, 1, 8
mip1674, 1, 3
mip1675, 1, 4
mip1676, 1, 8
mip1677, 1, 3
mip1678, 1, 1
mip1679, 1, 2
mip168, 1, 1
mip1680, 1, 9
mip1681, 1, 1
mip1682, 1, 7
mip1683, 1, 6
mip1684, 1, 1
mip1685, 1, 3
mip1686, 1, 9
mip1687, 1, 1
mip1688, 1, 5
mip1689, 1, 7
mip169, 1, 4
mip1690, 1, 1
mip1691, 1, 6
mip1692, 1, 6
mip1693, 1, 9
mip1694, 1, 8
mip1695, 1, 5
mip1696, 1, 10
mip1697, 1, 4
mip1698, 1, 3
mip1699, 1, 8
mip17, 1, 10
mip170, 1, 1
mip1700, 1, 6
mip1701, 1, 3
mip1702, 1, 1
mip1703, 1, 6
mip1704, 1, 3
mip1705, 1, 9
mip1706, 1, 9
mip1707, 1, 5
mip1708, 1, 8
mip1709, 1, 2
mip171, 1, 4
mip1710, 1, 9
mip1711, 1, 5
mip1712, 1, 6
mip1713, 1, 2
mip1714, 1, 4
mip1715, 1, 10
mip1716, 1, 3
mip1717, 1, 5
mip1718, 1, 2
mip1719, 1, 9
mip172, 1, 4
mip1720, 1, 3
mip1721, 1, 8
mip1722, 1, 3
mip1723, 1, 3
mip1724, 1, 1
mip1725, 1, 1
mip1726, 1, 10
mip1727, 1, 2
mip1728, 1, 1
mip1729, 1, 9
mip173, 1, 3
mip1730, 1, 6
mip1731, 1, 2
mip1732, 1, 1
mip1733, 1, 5
mip1734, 1, 10
mip1735, 1, 10
mip1736, 1, 9
mip1737, 1, 3
mip1738, 1, 4
mip1739, 1, 4
mip174, 1, 10
mip1740, 1, 8
mip1741, 1, 4
mip1742, 1, 2
mip1743, 1, 3
mip1744, 1, 2
mip1745, 1, 7
mip1746, 1, 6
mip1747, 1, 2
mip1748, 1, 5
mip1749, 1, 5
mip175, 1, 3
mip1750, 1, 6
mip1751, 1, 7
mip1752, 1, 4
mip1753, 1, 10
mip1754, 1, 5
mip1755, 1, 10
mip1756, 1, 8
mip1757, 1, 2
mip1758, 1, 9
mip1759, 1, 1
mip176, 1, 4
mip1760, 1, 2
mip1761, 1, 8
mip1762, 1, 2
mip1763, 1, 1
mip1764, 1, 3
mip1765, 1, 9
mip1766, 1, 3
mip1767, 1, 10
mip1768, 1, 6
mip1769, 1, 10
mip177, 1, 1
mip1770, 1, 10
mip1771, 1, 5
mip1772, 1, 7
mip1773, 1, 6
mip1774, 1, 2
mip1775, 1, 10
mip1776, 1, 2
mip1777, 1, 9
mip1778, 1, 3
mip1779, 1, 6
mip178, 1, 5
mip1780, 1, 5
mip1781, 1, 2
mip1782, 1, 1
mip1783, 1, 2
mip1784, 1, 3
mip1785, 1, 10
mip1786, 1, 2
mip1787, 1, 5
mip1788, 1, 8
mip1789, 1, 10
mip179, 1, 9
mip1790, 1, 5
mip1791, 1, 4
mip1792, 1, 1
mip1793, 1, 10
mip1794, 1, 7
mip1795, 1, 1
mip1796, 1, 9
mip1797, 1, 3
mip1798, 1, 4
mip1799, 1, 3
mip18, 1, 8
mip180, 1, 7
mip1800, 1, 1
mip1801, 1, 8
mip1802, 1, 3
mip1803, 1, 9
mip1804, 1, 9
mip1805, 1, 5
mip1806, 1, 4
mip1807, 1, 2
mip1808, 1, 7
mip1809, 1, 7
mip181, 1, 4
mip1810, 1, 1
mip1811, 1, 8
mip1812, 1, 10
mip1813, 1, 5
mip1814, 1, 6
mip1815, 1, 2
mip1816, 1, 1
mip1817, 1, 8
mip1818, 1, 2
mip1819, 1, 9
mip182, 1, 3
mip1820, 1, 7
mip1821, 1, 8
mip1822, 1, 7
mip1823, 1, 4
mip1824, 1, 3
mip1825, 1, 5
mip1826, 1, 3
mip1827, 1, 10
mip1828, 1, 5
mip1829, 1, 7
mip183, 1, 8
mip1830, 1, 8
mip1831, 1, 10
mip1832, 1, 10
mip1833, 1, 7
mip1834, 1, 2
mip1835, 1, 3
mip1836, 1, 6
mip1837, 1, 6
mip1838, 1, 10
mip1839, 1, 3
mip184, 1, 10
mip1840, 1, 8
mip1841, 1, 10
mip1842, 1, 10
mip1843, 1, 5
mip1844, 1, 2
mip1845, 1, 10
mip1846, 1, 3
mip1847, 1, 8
mip1848, 1, 8
mip1849, 1, 6
mip185, 1, 9
mip1850, 1, 2
mip1851, 1, 3
mip1852, 1, 9
mip1853, 1, 5
mip1854, 1, 2
mip1855, 1, 8
mip1856, 1, 9
mip1857, 1, 8
mip1858, 1, 6
mip1859, 1, 10
mip186, 1, 3
mip1860, 1, 9
mip1861, 1, 5
mip1862, 1, 1
mip1863, 1, 4
mip1864, 1, 6
mip1865, 1, 1
mip1866, 1, 4
mip1867, 1, 1
mip1868, 1, 9
mip1869, 1, 10
mip187, 1, 10
mip1870, 1, 2
mip1871, 1, 10
mip1872, 1, 6
mip1873, 1, 8
mip1874, 1, 6
mip1875, 1, 10
mip1876, 1, 5
mip1877, 1, 10
mip1878, 1, 8
mip1879, 1, 5
mip188, 1, 6
mip1880, 1, 4
mip1881, 1, 1
mip1882, 1, 5
mip1883, 1, 5
mip1884, 1, 4
mip1885, 1, 3
mip1886, 1, 10
mip1887, 1, 6
mip1888, 1, 8
mip1889, 1, 7
mip189, 1, 3
mip1890, 1, 5
mip1891, 1, 9
mip1892, 1, 10
mip1893, 1, 6
mip1894, 1, 2
mip1895, 1, 5
mip1896, 1, 3
mip1897, 1, 4
mip1898, 1, 8
mip1899, 1, 6
mip19, 1, 9
mip190, 1, 7
mip1900, 1, 8
mip1901, 1, 8
mip1902, 1, 3
mip1903, 1, 4
mip1904, 1, 7
mip1905, 1, 1
mip1906, 1, 9
mip1907, 1, 6
mip1908, 1, 5
mip1909, 1, 5
mip191, 1, 3
mip1910, 1, 9
mip1911, 1, 3
mip1912, 1, 7
mip1913, 1, 7
mip1914, 1, 4
mip1915, 1, 8
mip1916, 1, 7
mip1917, 1, 9
mip1918, 1, 8
mip1919, 1, 6
mip192, 1, 3
mip1920, 1, 6
mip1921, 1, 2
mip1922, 1, 4
mip1923, 1, 2
mip1924, 1, 1
mip1925, 1, 10
mip1926, 1, 3
mip1927, 1, 1
mip1928, 1, 8
mip1929, 1, 6
mip193, 1, 5
mip1930, 1, 2
mip1931, 1, 10
mip1932, 1, 8
mip1933, 1, 10
mip1934, 1, 6
mip1935, 1, 9
mip1936, 1, 3
mip1937, 1, 2
mip1938, 1, 8
mip1939, 1, 9
mip194, 1, 4
mip1940, 1, 4
mip1941, 1, 10
mip1942, 1, 6
mip1943, 1, 6
mip1944, 1, 5
mip1945, 1, 4
mip1946, 1, 10
mip1947, 1, 1
mip1948, 1, 3
mip1949, 1, 10
mip195, 1, 7
mip1950, 1, 3
mip1951, 1, 6
mip1952, 1, 2
mip1953, 1, 4
mip1954, 1, 2
mip1955, 1, 5
mip1956, 1, 8
mip1957, 1, 7
mip1958, 1, 10
mip1959, 1, 8
mip196, 1, 9
mip1960, 1, 1
mip1961, 1, 6
mip1962, 1, 1
mip1963, 1, 10
mip1964, 1, 4
mip1965, 1, 10
mip1966, 1, 4
mip1967, 1, 2
mip1968, 1, 3
mip1969, 1, 8
mip197, 1, 3
mip1970, 1, 10
mip1971, 1, 1
mip1972, 1, 6
mip1973, 1, 6
mip1974, 1, 7
mip1975, 1, 7
mip1976, 1, 9
mip1977, 1, 4
mip1978, 1, 8
mip1979, 1, 3
mip198, 1, 6
mip1980, 1, 1
mip1981, 1, 7
mip1982, 1, 6
mip1983, 1, 9
mip1984, 1, 9
mip1985, 1, 8
mip1986, 1, 1
mip1987, 1, 9
mip1988, 1, 9
mip1989, 1, 6
mip199, 1, 5
mip1990, 1, 7
mip1991, 1, 6
mip1992, 1, 1
mip1993, 1, 8
mip1994, 1, 2
mip1995, 1, 10
mip1996, 1, 7
mip1997, 1, 9
mip1998, 1, 3
mip1999, 1, 10
mip2, 1, 10
mip20, 1, 3
mip200, 1, 1
mip2000, 1, 8
mip2001, 1, 10
mip2002, 1, 8
mip2003, 1, 1
mip2004, 1, 1
mip2005, 1, 4
mip2006, 1, 2
mip2007, 1, 4
mip2008, 1, 3
mip2009, 1, 7
mip201, 1, 9
mip2010, 1, 8
mip2011, 1, 9
mip2012, 1, 1
mip2013, 1, 8
mip2014, 1, 1
mip2015, 1, 3
mip2016, 1, 7
mip2017, 1, 9
mip2018, 1, 6
mip2019, 1, 4
mip202, 1, 4
mip2020, 1, 8
mip2021, 1, 1
mip2022, 1, 10
mip2023, 1, 10
mip2024, 1, 7
mip2025, 1, 2
mip2026, 1, 3
mip2027, 1, 8
mip2028, 1, 4
mip2029, 1, 4
mip203, 1, 2
mip2030, 1, 10
mip2031, 1, 1
mip2032, 1, 9
mip2033, 1, 3
mip2034, 1, 3
mip2035, 1, 1
mip2036, 1, 5
mip2037, 1, 10
mip2038, 1, 6
mip2039, 1, 10
mip204, 1, 4
mip2040, 1, 6
mip2041, 1, 9
mip2042, 1, 8
mip2043, 1, 2
mip2044, 1, 8
mip2045, 1, 9
mip2046, 1, 7
mip2047, 1, 3
mip2048, 1, 3
mip2049, 1, 1
mip205, 1, 3
mip2050, 1, 10
mip2051, 1, 3
mip2052, 1, 3
mip2053, 1, 3
mip2054, 1, 1
mip2055, 1, 5
mip2056, 1, 3
mip2057, 1, 8
mip2058, 1, 3
mip2059, 1, 4
mip206, 1, 8
mip2060, 1, 6
mip2061, 1, 1
mip2062, 1, 2
mip2063, 1, 10
mip2064, 1, 5
mip2065, 1, 6
mip2066, 1, 8
mip2067, 1, 10
mip2068, 1, 9
mip2069, 1, 4
mip207, 1, 1
mip2070, 1, 8
mip2071, 1, 6
mip2072, 1, 4
mip2073, 1, 7
mip2074, 1, 10
mip2075, 1, 6
mip2076, 1, 2
mip2077, 1, 2
mip2078, 1, 8
mip2079, 1, 6
mip208, 1, 5
mip2080, 1, 2
mip2081, 1, 7
mip2082, 1, 4
mip2083, 1, 1
mip2084, 1, 7
mip2085, 1, 5
mip2086, 1, 5
mip2087, 1, 8
mip2088, 1, 5
mip2089, 1, 2
mip209, 1, 7
mip2090, 1, 10
mip2091, 1, 9
mip2092, 1, 6
mip2093, 1, 2
mip2094, 1, 3
mip2095, 1, 4
mip2096, 1, 7
mip2097, 1, 7
mip2098, 1, 8
mip2099, 1, 9
mip21, 1, 9
mip210, 1, 10
mip2100, 1, 10
mip2101, 1, 2
mip2102, 1, 3
mip2103, 1, 7
mip2104, 1, 9
mip2105, 1, 8
mip2106, 1, 1
mip2107, 1, 10
mip2108, 1, 3
mip2109, 1, 7
mip211, 1, 3
mip2110, 1, 7
mip2111, 1, 6
mip2112, 1, 5
mip2113, 1, 4
mip2114, 1, 7
mip2115, 1, 3
mip2116, 1, 3
mip2117, 1, 4
mip2118, 1, 3
mip2119, 1, 3
mip212, 1, 10
mip2120, 1, 10
mip2121, 1, 5
mip2122, 1, 7
mip2123, 1, 5
mip2124, 1, 9
mip2125, 1, 4
mip2126, 1, 3
mip2127, 1, 7
mip2128, 1, 7
mip2129, 1, 1
mip213, 1, 8
mip2130, 1, 9
mip2131, 1, 4
mip2132, 1, 10
mip2133, 1, 7
mip2134, 1, 3
mip2135, 1, 10
mip2136, 1, 7
mip2137, 1, 7
mip2138, 1, 7
mip2139, 1, 4
mip214, 1, 10
